파일명,컬럼명,null 수,범주값 길이(고정/가변),상이값 수,유일값 수,최빈값(mode),값 중복도 평균,최댓값,최솟값,평균(mean),중앙값(median),1분위수(1Q),3분위수(3Q),IQR,분산(variance),표준편차(standard deviation),범위(range),왜도(skewness),첨도(kurtosis),대분류,소분류
113_근로복지공단_산재보험 지정의료기관 현황정보_20231231.csv,의료기관기호,0,,6104,6104,1000001,1.0,1023368.0,1000001.0,1016330.4818152032,1018527.0,1012516.5,1021272.25,8755.75,37271857.11,6105.068149143193,23367.0,-0.946054602,-0.180876994,산업고용,고용노동
113_근로복지공단_산재보험 지정의료기관 현황정보_20231231.csv,우편번호,0,,4327,4327,31156,1.4106771435174486,630850.0,1022.0,29176.582077326344,24500.0,12209.0,44965.25,32756.25,713088391.6999649,26703.71494193205,629828.0,9.862047398512464,193.12495293818907,산업고용,고용노동
123_근로복지공단_산재심사 결정현황_20231231.csv,구분,0,,7,7,2017,1.0,2023.0,2017.0,2020.0,2020.0,2018.5,2021.5,3.0,4.666666666666667,2.160246899469287,6.0,0.0,-1.2,산업고용,고용노동
123_근로복지공단_산재심사 결정현황_20231231.csv,결정,0,,7,7,8656,1.0,11155.0,8656.0,10161.142857142857,10638.0,9514.0,10825.5,1311.5,955737.8095238094,977.6184375940388,2499.0,-0.788072217,-1.124471184,산업고용,고용노동
123_근로복지공단_산재심사 결정현황_20231231.csv,취소,0,,7,7,1223,1.0,1690.0,1223.0,1517.857142857143,1535.0,1507.0,1581.5,74.5,20969.476190476194,144.80841201558766,467.0,-1.535798023,3.594889883304047,산업고용,고용노동
124_근로복지공단_산재보험 지정의료기관 현황정보_20231231.csv,의료기관기호,0,,6104,6104,1000001,1.0,1023368.0,1000001.0,1016330.4818152032,1018527.0,1012516.5,1021272.25,8755.75,37271857.11,6105.068149143193,23367.0,-0.946054602,-0.180876994,산업고용,고용노동
124_근로복지공단_산재보험 지정의료기관 현황정보_20231231.csv,우편번호,0,,4327,4327,31156,1.4106771435174486,630850.0,1022.0,29176.582077326344,24500.0,12209.0,44965.25,32756.25,713088391.6999649,26703.71494193205,629828.0,9.862047398512464,193.12495293818907,산업고용,고용노동
125_근로복지공단_규모별 산재신청 승인현황_20231231.csv,연도,0,,6,6,2018,8.666666666666666,2023.0,2018.0,2020.423076923077,2020.0,2019.0,2022.0,3.0,2.915535444947208,1.7074939077335556,5.0,0.062825213,-1.237001074,산업고용,고용노동
125_근로복지공단_규모별 산재신청 승인현황_20231231.csv,신청,0,,51,51,0,1.0196078431372548,43976.0,0.0,15752.53846153846,10441.0,6385.25,25619.25,19234.0,173132748.68476617,13157.991818084029,43976.0,0.9075741095201668,-0.649117631,산업고용,고용노동
125_근로복지공단_규모별 산재신청 승인현황_20231231.csv,승인,0,,51,51,0,1.0196078431372548,39762.0,0.0,14244.46153846154,9401.0,5307.75,22831.0,17523.25,150208770.8808446,12255.968785895491,39762.0,0.9222587328517192,-0.64846354,산업고용,고용노동
