구간 번호,관리청,도로 분류,대표지역,도로(노선)명,총길이(km),기점 위도(WGS84(4326)),기점 경도(WGS84(4326)),종점 위도(WGS84(4326)),종점 경도(WGS84(4326)),정북기준 도로방향 각도(x1),정북기준 도로방향 각도(y1),정북기준 도로방향 각도(기점 기준십진수 방위각)
70100-86,한국도로공사(한국도로공사),고속국도,전라북도 무주군,35호선,2.5,35.89332936,127.6641167,35.91566382,127.6649406,-0.000823961,-0.022334457,267.8872069
70100-87,한국도로공사(한국도로공사),고속국도,전라북도 무주군,35호선,1,36.00909045,127.5850647,36.0176777,127.5817054,0.003359317,-0.008587246,291.3653584
70100-114,한국도로공사(한국도로공사),고속국도,전라북도 임실군,27호선,1,35.55438707,127.3217093,35.56325296,127.3227423,-0.001032931,-0.00886589,263.3546467
60400-27,국토관리청(익산청),일반국도,전라북도 순창군,21호선,6,35.479366,127.016502,35.464749,127.050323,-0.033821,0.014617,156.6266219
60400-28,국토관리청(익산청),일반국도,전라북도 순창군,24호선,1,35.371296,127.113755,35.375715,127.123254,-0.009499,-0.004419,204.9481721
60400-33,국토관리청(익산청),일반국도,전라북도 임실군,30호선,3,35.637782,127.359445,35.657952,127.367273,-0.007828,-0.02017,248.7887104
60400-44,국토관리청(익산청),일반국도,전라북도 순창군,29호선,5,35.475614,126.993092,35.443164,126.99651,-0.003418,0.03245,96.0128662
45770-3,전라북도(순창군),일반국도,전라북도 순창군,국21호,2,35.473307,127.040239,35.464987,127.050398,-0.010159,0.00832,140.6832698
45770-4,전라북도(순창군),국지도,전라북도 순창군,국지도 55호,2,35.43046333,127.0594665,35.42024642,127.0742866,-0.014820151,0.010216909,145.4178901
60400-23,국토관리청(익산청),일반국도,전라북도 부안군,30호선,2,35.583395,126.521755,35.594683,126.528376,-0.006621,-0.011288,239.6061563
70100-83,한국도로공사(한국도로공사),고속국도,전라북도 부안군,15호선,2.67,35.62562706,126.6994944,35.64538151,126.7162124,-0.016718073,-0.019754446,229.7589558
70100-101,한국도로공사(한국도로공사),고속국도,전라북도 고창군,253호선,1,35.38065826,126.7009709,35.37510643,126.7096413,-0.008670381,0.005551831,147.3676926
46150-3,전라남도(순천시),국지도,전라남도 순천시,국지도58,2,34.90635073,127.2840787,34.91360787,127.3242801,-0.04020142,-0.007257144,190.2328077
46150-4,전라남도(순천시),국지도,전라남도 순천시,국지도58,2,34.91864591,127.3800001,34.9116947,127.3520809,0.027919264,0.006951205,13.98096898
46150-5,전라남도(순천시),지방도,전라남도 순천시,지방도857,2.8,34.95212722,127.3601963,34.96939203,127.3578506,0.002345656,-0.017264816,277.7370235
60400-37,국토관리청(익산청),일반국도,전라남도 순천시,15호선,8,34.966929,127.264973,34.904616,127.281096,-0.016123,0.062313,104.5066898
60400-38,국토관리청(익산청),일반국도,전라남도 순천시,17호선,7,35.093534,127.425719,35.039717,127.437218,-0.011499,0.053817,102.060944
60400-48,국토관리청(익산청),일반국도,전라남도 순천시,22호선,4,35.046589,127.28909,35.030767,127.320616,-0.031526,0.015822,153.3492311
70100-109,한국도로공사(한국도로공사),고속국도,전라남도 나주시,12호선,1,35.09472498,126.67751,35.0984857,126.6874541,-0.009944119,-0.003760726,200.7159133
70100-104,한국도로공사(한국도로공사),고속국도,전라남도 순천시,25호선,3,35.02061406,127.3540049,35.02851076,127.3225054,0.031499528,-0.007896696,345.9264183
70100-105,한국도로공사(한국도로공사),고속국도,전라남도 순천시,25호선,3,35.03384066,127.3015514,35.05398469,127.2799286,0.021622753,-0.02014403,317.0276691
70100-111,한국도로공사(한국도로공사),고속국도,전라남도 순천시,27호선,2,35.15426511,127.4518345,35.17099733,127.4454983,0.006336241,-0.016732221,290.7409249
70100-107,한국도로공사(한국도로공사),고속국도,전라남도 광양시,10호선,1,34.96569364,127.6445979,34.96388912,127.654818,-0.010220095,0.001804523,169.9867094
46720-1,전라남도(곡성군),도시계획도로,전라남도 곡성군,도시계획도로2-2,0.1,35.26696937,127.3248271,35.26646079,127.3272311,-0.002403998,0.000508588,168.0546803
46710-1,전라남도(담양군),군도,전라남도 담양군,군도3호선,1,35.2424,127.0687,35.239,127.0772,-0.0085,0.0034,158.1985905
46000-56,전라남도(도로관리사업소),지방도,전라남도 광양시,지방도 861호선,0.17,35.00230751,127.7755992,35.00341584,127.7742713,0.001327893,-0.001108331,320.1498169
46000-57,전라남도(도로관리사업소),지방도,전라남도 광양시,지방도 861호선,0.22,35.00935094,127.768625,35.0086179,127.7713567,-0.002731642,0.000733048,164.9783365
60400-39,국토관리청(익산청),일반국도,전라남도 구례군,19호선,4,35.357845,127.437539,35.323095,127.44021,-0.002671,0.03475,94.39530105
60400-40,국토관리청(익산청),일반국도,전라남도 고흥군,27호선,1,34.606387,127.295202,34.600483,127.286997,0.008205,0.005904,35.73732762
70100-106,한국도로공사(한국도로공사),고속국도,전라남도 곡성군,25호선,1,35.13495722,127.2507353,35.14250823,127.2566989,-0.005963594,-0.00755101,231.699226
46720-3,전라남도(곡성군),군도,전라남도 곡성군,군도1호선,0.6,35.29027599,127.2096716,35.28488787,127.2110815,-0.001409873,0.00538812,104.6634417
46720-9,전라남도(곡성군),국지도,전라남도 곡성군,국지도 60호선,3,35.24209513,127.2515459,35.24194023,127.2515464,-4.72E-07,0.000154904,90.1747529
60400-35,국토관리청(익산청),일반국도,전라남도 보성군,2호선,2,34.747215,127.069655,34.748015,127.091284,-0.021629,-0.0008,182.118255
60400-36,국토관리청(익산청),일반국도,전라남도 보성군,2호선,2,34.83068,127.267555,34.840234,127.284413,-0.016858,-0.009554,209.5416978
60400-41,국토관리청(익산청),일반국도,전라남도 보성군,29호선,2,34.83102,127.073442,34.824169,127.092144,-0.018702,0.006851,159.880982
46780-2,전라남도(보성군),군도,전라남도 보성군,군도6호선,2,34.84328374,127.2394354,34.84666253,127.2261519,0.013283427,-0.003378788,345.728821
46770-1,전라남도(고흥군),군도,전라남도 고흥군,35호선,1,34.65746384,127.2601404,34.65860158,127.2439085,0.016231882,-0.001137741,355.9905244
46790-5,전라남도(화순군),국지도,전라남도 화순군,58,0.3,34.92489556,127.0305632,34.90153882,127.048462,-0.017898808,0.023356736,127.4637827
60400-7,국토관리청(익산청),일반국도,전라남도 화순군,15호선,3,35.065624,127.089157,35.041083,127.083629,0.005528,0.024541,77.30567298
46790-2,전라남도(화순군),지방도,전라남도 화순군,839,0.15,34.88104049,126.986439,34.88110357,126.9880322,-0.001593285,-6.31E-05,182.2674044
46790-4,전라남도(화순군),국지도,전라남도 화순군,58,0.38,34.92807301,127.0277529,34.92664741,127.0311187,-0.003365727,0.001425596,157.0443056
46790-6,전라남도(화순군),국지도,전라남도 화순군,58,1.6,34.90089444,127.0638637,34.9038052,127.0799093,-0.016045609,-0.002910764,190.2819637
46790-7,전라남도(화순군),지방도,전라남도 화순군,843,0.8,34.88471225,127.0519092,34.8860097,127.0598178,-0.007908633,-0.00129745,189.316662
46790-15,전라남도(화순군),농어촌도로,전라남도 화순군,농도 312,0.3,34.87516062,127.052027,34.87474145,127.0552714,-0.0032444,0.000419174,172.6382176
70100-116,한국도로공사(한국도로공사),고속국도,전라남도 장흥군,10호선,1,34.70221549,126.8945483,34.70700257,126.9037971,-0.009248802,-0.004787081,207.3656006
46000-41,전라남도(도로관리사업소),지방도,전라남도 강진군,지방도 835,0.6,34.736736,126.797671,34.739055,126.793274,0.004397,-0.002319,332.1926093
46000-42,전라남도(도로관리사업소),지방도,전라남도 강진군,지방도 835,1,34.768707,126.765087,34.773423,126.758794,0.006293,-0.004716,323.1519598
46000-50,전라남도(도로관리사업소),국지도,전라남도 강진군,국지도55호선,0.9,34.564456,126.716969,34.559112,126.724565,-0.007596,0.005344,144.8725338
46000-51,전라남도(도로관리사업소),국지도,전라남도 강진군,국지도55호선,0.3,34.492005,126.69954,34.489821,126.69806,0.00148,0.002184,55.87624688
60400-2,국토관리청(익산청),일반국도,전라남도 무안군,1호선,3,34.888687,126.429864,34.864382,126.42563,0.004234,0.024305,80.11807725
60400-4,국토관리청(익산청),일반국도,전라남도 무안군,2호선,10,34.843808,126.466153,34.773941,126.523746,-0.057593,0.069867,129.4995555
46860-2,전라남도(함평군),군도,전라남도 함평군,죽장길,0.6,35.12845299,126.4513918,35.13515486,126.4550169,-0.003625025,-0.006701866,241.591138
46860-1,전라남도(함평군),군도,전라남도 함평군,남일길,0.6,35.06817005,126.5119795,35.07116481,126.50617,0.005809522,-0.002994762,332.7292602
70100-108,한국도로공사(한국도로공사),고속국도,전라남도 함평군,12호선,1,35.02785272,126.4790949,35.03032502,126.4896234,-0.010528462,-0.002472302,193.2148214
46840-2,전라남도(무안군),군도,전라남도 무안군,군도34호선,0.6,34.9588205,126.5099006,34.95445646,126.5069664,0.002934256,0.004364035,56.08420846
46900-1,전라남도(진도군),군도,전라남도 진도군,군도15호선,1.6,34.464682,126.311853,34.462931,126.326227,-0.014374,0.001751,173.0546106
46900-2,전라남도(진도군),군도,전라남도 진도군,군도15호선,0.9,34.462931,126.326227,34.46347,126.331933,-0.005706,-0.000539,185.3962598
60400-3,국토관리청(익산청),일반국도,전라남도 신안군,2호선,1,34.856778,126.259367,34.859764,126.26912,-0.009753,-0.002986,197.0226083
46910-10,전라남도(신안군),군도,전라남도 신안군,군도28호선,1.5,34.6791315,125.4073698,34.67028499,125.3986607,0.008709131,0.008846514,45.44836452
46910-11,전라남도(신안군),군도,전라남도 신안군,군도28호선,1.8,34.67022225,125.3985637,34.66191634,125.3976761,0.000887663,0.008305901,83.89987853
45790-9,전라북도(고창군),지방도,전라북도 고창군,지734호,1,35.49265438,126.618282,35.49657369,126.6126014,0.005680682,-0.003919308,325.3967993
46000-49,전라남도(도로관리사업소),지방도,전라남도 신안군,지방도805호선,1,34.915856,126.076,34.91664016,126.083995,-0.007995001,-0.000784159,185.6017227
46910-28,전라남도(신안군),농어촌도로,전라남도 신안군,농어촌도로201호선,0.4,34.76906218,126.1610374,34.76870389,126.1573055,0.003731893,0.000358292,5.48405462
46000-46,전라남도(도로관리사업소),지방도,전라남도 신안군,지방도805호선,1.2,34.87116796,126.0471912,34.881074,126.047402,-0.000210768,-0.009906043,268.7811182
46000-47,전라남도(도로관리사업소),지방도,전라남도 신안군,지방도805호선,1,34.852378,126.069662,34.85938177,126.0656726,0.003989434,-0.007003772,299.6663677
46000-44,전라남도(도로관리사업소),지방도,전라남도 신안군,지방도805호선,1.8,35.050786,126.202706,35.037219,126.193312,0.009394,0.013567,55.30067418
60500-29,국토관리청(부산청),일반국도,경상북도 포항시,28호선,1,36.07402,129.33217,36.082341,129.335573,-0.003403,-0.008321,247.7571433
60500-24,국토관리청(부산청),일반국도,경상북도 경주시,20호선,3,35.863327,129.146975,35.859274,129.114553,0.032422,0.004053,7.125451349
47130-1,경상북도(경주시),시도,경상북도 경주시, 시도 42호선 불국로,2.9,35.78502012,129.3301431,35.78120464,129.3474355,-0.01729235,0.003815478,167.5573124
47130-2,경상북도(경주시),시도,경상북도 경주시, 시도 42호선 불국로,1.8,35.78127059,129.3476975,35.77328785,129.353862,-0.006164444,0.007982736,127.6761045
70100-134,한국도로공사(한국도로공사),고속국도,경상북도 포항시,20호선,2,36.06214978,129.1439342,36.07549106,129.1588507,-0.014916415,-0.013341285,221.809542
70100-135,한국도로공사(한국도로공사),고속국도,경상북도 포항시,20호선,1.2,36.08219706,129.1662664,36.08666141,129.1780984,-0.011832046,-0.004464345,200.6719746
70100-160,한국도로공사(한국도로공사),고속국도,경상북도 포항시,65호선,1,35.8797762,129.3923462,35.88843665,129.389689,0.002657248,-0.008660443,287.0573684
47130-19,경상북도(경주시),구국도,경상북도 경주시,4호선,7,35.83149803,129.3004068,35.80024032,129.3761961,-0.075789286,0.031257704,157.5873257
47000-1,경상북도(본청),일반국도,경상북도 김천시,59호선(광양-양양),2,35.98024999,128.137075,35.96171631,128.1391235,-0.002048475,0.018533683,96.30713975
47000-2,경상북도(본청),지방도,경상북도 김천시,903호선(성주-금수),2,35.95510077,128.0142206,35.93365209,128.0161068,-0.001886212,0.02144868,95.02570171
47000-3,경상북도(본청),지방도,경상북도 김천시,1089호선(신동-부항),1.5,35.97468799,127.9089383,35.97238244,127.8967422,0.012196092,0.002305547,10.70486046
47150-1,경상북도(김천시),구국도,경상북도 김천시,3호선(남해-초산),1.6,35.87410077,127.941347,35.87288113,127.9296731,0.011673915,0.001219637,5.964364236
70100-146,한국도로공사(한국도로공사),고속국도,경상북도 김천시,45호선,1,36.11397656,128.2767983,36.12284124,128.2784353,-0.001637012,-0.008864686,259.5372496
60500-37,국토관리청(부산청),일반국도,경상북도 영천시,35호선,2,36.126872,128.95201,36.117569,128.933582,0.018428,0.009303,26.78599613
70100-139,한국도로공사(한국도로공사),고속국도,경상북도 안동시,55호선,2,36.53733791,128.6380013,36.55469354,128.6439827,-0.005981428,-0.017355623,250.9840413
70100-141,한국도로공사(한국도로공사),고속국도,경상북도 안동시,55호선,1,36.61455947,128.5620913,36.62163795,128.5556566,0.006434661,-0.007078483,312.2722551
47170-9,경상북도(안동시),지방도,경상북도 안동시,지방도 924,0.15,36.61243967,128.7360633,36.61143285,128.7369023,-0.000838977,0.001006821,129.8042308
47170-12,경상북도(안동시),지방도,경상북도 안동시,지방도 928,0.2,36.7122269,128.603873,36.71103767,128.6043841,-0.000511085,0.001189225,113.2562488
60500-3,국토관리청(부산청),일반국도,경상북도 구미시,25호선,1,36.164628,128.421287,36.165161,128.432375,-0.011088,-0.000533,182.7520888
45790-10,전라북도(고창군),지방도,전라북도 고창군,지734호,1,35.492662,126.641999,35.501192,126.646309,-0.00431,-0.00853,243.1936484
47170-13,경상북도(안동시),지방도,경상북도 안동시,지방도 928,0.3,36.68146245,128.6621822,36.68236633,128.6644309,-0.002248713,-0.000903875,201.8977623
47170-17,경상북도(안동시),일반국도,경상북도 안동시,국도 35호선,1.4,36.38259405,128.9271678,36.38792033,128.9311786,-0.00401087,-0.005326287,233.019041
47170-14,경상북도(안동시),지방도,경상북도 안동시,지방도 935,0.25,36.71758147,128.780923,36.71613463,128.7820758,-0.001152819,0.001446837,128.547342
47210-1,경상북도(영주시),지방도,경상북도 영주시,지방도(935호선),5,37.013234,128.655853,37.03844905,128.6698064,-0.013953364,-0.025215049,241.0409789
47230-1,경상북도(영천시),농어촌도로,경상북도 영천시,면도102호,0.5,36.011379,128.829224,36.009111,128.824706,0.004518,0.002268,26.65628642
70100-128,한국도로공사(한국도로공사),고속국도,경상북도 구미시,55호선,2,36.14304192,128.5408728,36.15963453,128.5479581,-0.007085363,-0.016592608,246.8765851
70211-3,민자고속도로(상주영천고속도로),고속국도,경상북도 구미시,301호선,0.59,36.18539324,128.5364564,36.18062179,128.5390528,-0.002596378,0.004771453,118.5527512
47000-20,경상북도(본청),지방도,경상북도 상주시,지방도901호선,1.5,36.366392,128.001393,36.365822,127.985992,0.015401,0.00057,2.119582808
47230-15,경상북도(영천시),시도,경상북도 영천시,시도1호,0.8,35.94357174,128.9307114,35.93940289,128.9374329,-0.006721555,0.004168854,148.1919143
47250-2,경상북도(상주시),일반국도,경상북도 상주시,국도3호선,0.7,36.363937,128.14963,36.369388,128.148868,0.000762,-0.005451,277.9578578
47250-3,경상북도(상주시),군도,경상북도 상주시,군도20호선,0.9,36.3929687,127.962927,36.3925096,127.979518,-0.016591,0.0004591,178.4149369
60500-38,국토관리청(부산청),일반국도,경상북도 문경시,3호선,7,36.752027,128.040608,36.722975,128.103503,-0.062895,0.029052,155.2071846
70100-67,한국도로공사(한국도로공사),고속국도,경상북도 문경시,45호선,0.6,36.74713043,128.0617772,36.7474604,128.0550894,0.006687741,-0.000329965,357.1753865
60500-39,국토관리청(부산청),일반국도,경상북도 문경시,3호선,5,36.666542,128.125402,36.640227,128.149657,-0.024255,0.026315,132.667311
47280-2,경상북도(문경시),일반국도,경상북도 문경시,국지도32호선,1.5,36.562841,127.964983,36.562636,127.968144,-0.003161,0.000205,176.2893992
47280-3,경상북도(문경시),시도,경상북도 문경시,시도 24호선,2.8,36.678723,128.246458,36.696289,128.257163,-0.010705,-0.017566,238.6412053
70100-158,한국도로공사(한국도로공사),고속국도,경상북도 상주시,65호선,1.8,35.55537641,129.2507616,35.56846044,129.2624801,-0.011718505,-0.013084026,228.1512785
60500-45,국토관리청(부산청),일반국도,경상북도 의성군,5호선,3,36.434148,128.671072,36.412617,128.675298,-0.004226,0.021531,101.1045758
47730-1,경상북도(의성군),군도,경상북도 의성군,군도11호,1,36.30496137,128.8013603,36.30908904,128.8010914,0.000268967,-0.004127662,273.7282436
47730-2,경상북도(의성군),농어촌도로,경상북도 의성군,리도201호,1,36.34150486,128.7450323,36.34736275,128.7481001,-0.003067788,-0.00585789,242.3588652
47730-3,경상북도(의성군),군도,경상북도 의성군,구국도5호,1,36.39195072,128.6777364,36.38441488,128.6763614,0.001374948,0.007535841,79.65986754
70100-133,한국도로공사(한국도로공사),고속국도,경상북도 경산시,20호선,4.3,35.95312174,128.7816664,35.96600828,128.8239711,-0.042304717,-0.012886541,196.9413854
70203-3,민자고속도로(신대구부산고속도로(주)),고속국도,경상북도 경산시,55호선,0.5,35.71405552,128.7433428,35.71842591,128.7419462,0.001396555,-0.004370382,287.72128
60500-30,국토관리청(부산청),일반국도,경상북도 청송군,31호선,4,36.426095,129.049647,36.399019,129.06907,-0.019423,0.027076,125.6538095
47730-7,경상북도(의성군),군도,경상북도 의성군,군도22호,2,36.44797243,128.5524227,36.43903679,128.5646784,-0.012255634,0.00893564,143.9040342
47730-8,경상북도(의성군),농어촌도로,경상북도 의성군,리도202호,2,36.30739154,128.7727027,36.29636839,128.7641117,0.008591002,0.01102315,52.06857504
47000-11,경상북도(본청),지방도,경상북도 영양군,지방도920호선,1,36.66184392,129.1072512,36.66501101,129.0661061,0.041145086,-0.003167085,355.5984169
47750-2,경상북도(청송군),지방도,경상북도 청송군,지방도914호선,2.3,36.368182,129.145119,36.360036,129.15993,-0.014811,0.008146,151.1893548
70100-148,한국도로공사(한국도로공사),고속국도,경상북도 청송군,30호선,1,36.45639858,129.0317143,36.46164425,129.0406943,-0.008979986,-0.005245669,210.291385
70100-149,한국도로공사(한국도로공사),고속국도,경상북도 청송군,30호선,2,36.47231168,129.0586633,36.47621759,129.0801558,-0.0214925,-0.003905912,190.300162
47760-22,경상북도(영양군),지방도,경상북도 영양군,지방도 918호선,2,36.63331707,129.2060584,36.6241258,129.2222267,-0.016168356,0.00919127,150.382948
47760-13,경상북도(영양군),지방도,경상북도 영양군,지방도920호선,1.5,36.63625073,129.1321287,36.6143909,129.1504079,-0.018279254,0.021859829,129.9024691
47760-15,경상북도(영양군),지방도,경상북도 영양군,지방도917호선,3,36.73862619,129.2034352,36.72644,129.2228812,-0.019446015,0.012186192,147.9259518
47760-21,경상북도(영양군),지방도,경상북도 영양군,지방도 918호선,0.7,36.75096304,129.076556,36.75840287,129.058038,0.018517971,-0.007439835,338.1115664
47760-18,경상북도(영양군),일반국도,경상북도 영양군,국도 88호선,3,36.75661927,129.1747463,36.76555836,129.1953671,-0.020620823,-0.008939089,203.4366446
47760-17,경상북도(영양군),일반국도,경상북도 영양군,국도 31호선,5,36.80730901,129.1354465,36.83339268,129.1023803,0.033066273,-0.026083676,321.7325552
47820-3,경상북도(청도군),고속국도,경상북도 청도군,55호선,1.02,35.68853366,128.7408009,35.69741327,128.7400034,0.000797439,-0.008879605,275.1317175
70203-2,민자고속도로(신대구부산고속도로(주)),고속국도,경상북도 청도군,55호선,1.02,35.68853366,128.7408009,35.69741327,128.7400034,0.000797439,-0.008879605,275.1317175
47770-15,경상북도(영덕군),지방도,경상북도 영덕군,914호선,4,36.35845676,129.2362993,36.35843577,129.2360386,0.00026072,2.10E-05,4.602339188
47770-16,경상북도(영덕군),군도,경상북도 영덕군,25호선,2,36.49868605,129.4110357,36.49847596,129.4108407,0.000195045,0.000210092,47.12709765
47820-6,경상북도(청도군),국지도,경상북도 청도군,30호선,2,35.72064961,128.6770534,35.69916029,128.6877833,-0.010729953,0.021489323,116.5336701
47820-5,경상북도(청도군),국지도,경상북도 청도군,69호선,2,35.63734299,129.0398757,35.65034138,129.0289453,0.010930405,-0.012998385,310.0606423
47820-4,경상북도(청도군),지방도,경상북도 청도군,902호선,2,35.72953806,128.5608107,35.71639242,128.5581922,0.002618424,0.013145645,78.73493823
47830-1,경상북도(고령군),군도,경상북도 고령군,군도 6호선,1.8,35.679656,128.293553,35.669219,128.293616,-6.30E-05,0.010437,90.34584558
70100-137,한국도로공사(한국도로공사),고속국도,경상북도 고령군,12호선,1.3,35.71278727,128.2902513,35.72262356,128.2970969,-0.006845545,-0.009836295,235.1641093
70100-145,한국도로공사(한국도로공사),고속국도,경상북도 성주군,45호선,1,36.02121371,128.2666229,36.02994278,128.2693798,-0.002756845,-0.008729072,252.4726653
47840-3,경상북도(성주군),고속국도,경상북도 성주군,30호선(부안~대구),1.5,35.9303,128.1445,35.9281,128.1355,0.009,0.0022,13.73626831
